,movie,year,imdb,metascore,votes,us_grossMillions,timeMin
413,"Paris, Texas",1984,8.1,78.0,93361,2.18,145
414,Blow,2001,7.6,52.0,242570,52.99,124
415,The Theory of Everything,2014,7.7,72.0,408959,35.89,123
416,Gran Torino,2008,8.1,72.0,725809,148.1,116
417,Beauty and the Beast,1991,8.0,95.0,419574,218.97,84
418,Bridge of Spies,2015,7.6,81.0,290572,72.31,142
419,Isle of Dogs,2018,7.9,82.0,142198,32.02,101
420,Toy Story 3,2010,8.2,92.0,764079,415.0,103
421,Midnight Cowboy,1969,7.8,79.0,102048,44.79,113
422,Blazing Saddles,1974,7.7,73.0,127076,119.5,93
423,Boyz n the Hood,1991,7.8,76.0,127534,57.5,112
424,Glory,1989,7.8,78.0,124410,26.83,122
425,Match Point,2005,7.6,72.0,207545,23.09,124
426,Coraline,2009,7.7,80.0,199649,75.29,100
427,When Harry Met Sally...,1989,7.6,76.0,197736,92.82,95
428,The Fighter,2010,7.8,79.0,343560,93.62,116
429,Deliverance,1972,7.7,80.0,99430,7.06,109
430,Cool Hand Luke,1967,8.1,92.0,163546,16.22,127
431,Barry Lyndon,1975,8.1,89.0,151884,,185
432,Dog Day Afternoon,1975,8.0,86.0,237747,50.0,125
433,This Is Spinal Tap,1984,7.9,92.0,129936,0.19,82
434,Dara of Jasenovac,2020,8.3,,34054,,130
435,The Color Purple,1985,7.8,78.0,79148,98.47,154
436,Eastern Promises,2007,7.6,82.0,229471,17.11,100
437,The Last Picture Show,1971,8.0,93.0,43050,29.13,118
438,The Girl with the Dragon Tattoo,2009,7.8,76.0,209879,10.1,152
439,Ben-Hur,1959,8.1,90.0,221222,74.7,212
440,The Others,2001,7.6,74.0,340317,96.52,104
441,Chungking Express,1994,8.1,77.0,64745,0.6,102
442,The Holy Mountain,1973,7.9,76.0,37894,0.06,114
443,This Is England,2006,7.7,86.0,116213,0.33,101
444,The Fugitive,1993,7.8,87.0,269657,183.88,130
445,Brazil,1985,7.9,84.0,188776,9.93,132
446,Creed,2015,7.6,82.0,249858,109.77,133
447,"Crouching Tiger, Hidden Dragon",2000,7.8,94.0,254922,128.08,120
448,My Neighbor Totoro,1988,8.2,86.0,296212,1.11,86
449,Ran,1985,8.2,96.0,114069,4.14,162
450,The Bourne Supremacy,2004,7.7,73.0,437482,176.24,108
451,Cinema Paradiso,1988,8.5,80.0,233818,11.99,155
